home_team,away_team,home_goals,away_goals,result,season
Blackburn,Birmingham,1,1,D,2010-2011
Bolton,West Ham,3,0,H,2010-2011
Chelsea,Wigan,1,0,H,2010-2011
Man United,Fulham,2,0,H,2010-2011
Sunderland,West Brom,2,3,A,2010-2011
Tottenham,Stoke,3,2,H,2010-2011
Blackpool,Arsenal,1,3,A,2010-2011
Aston Villa,Newcastle,1,0,H,2010-2011
Liverpool,Man City,3,0,H,2010-2011
Birmingham,Sunderland,2,0,H,2010-2011
Blackpool,Wigan,1,3,A,2010-2011
Everton,Blackburn,2,0,H,2010-2011
West Brom,Chelsea,1,3,A,2010-2011
West Ham,Aston Villa,1,2,A,2010-2011
Arsenal,Liverpool,1,1,D,2010-2011
Newcastle,Man United,0,0,D,2010-2011
Chelsea,Birmingham,3,1,H,2010-2011
Tottenham,Arsenal,3,3,D,2010-2011
Man United,Everton,1,0,H,2010-2011
Aston Villa,Stoke,1,1,D,2010-2011
Blackpool,Newcastle,1,1,D,2010-2011
Liverpool,Birmingham,5,0,H,2010-2011
Sunderland,Wigan,4,2,H,2010-2011
Tottenham,West Brom,2,2,D,2010-2011
Wolves,Fulham,1,1,D,2010-2011
Chelsea,West Ham,3,0,H,2010-2011
Bolton,Arsenal,2,1,H,2010-2011
Blackburn,Man City,0,1,A,2010-2011
Stoke,Wolves,3,0,H,2010-2011
Fulham,Bolton,3,0,H,2010-2011
Blackburn,Bolton,1,0,H,2010-2011
Blackpool,Stoke,0,0,D,2010-2011
Sunderland,Fulham,0,3,A,2010-2011
West Brom,Aston Villa,2,1,H,2010-2011
Wigan,Everton,1,1,D,2010-2011
Chelsea,Tottenham,2,1,H,2010-2011
Birmingham,Wolves,1,1,D,2010-2011
Liverpool,Newcastle,3,0,H,2010-2011
Arsenal,Man United,1,0,H,2010-2011
Man City,West Ham,2,1,H,2010-2011
Aston Villa,Wigan,1,1,D,2010-2011
Bolton,Sunderland,1,2,A,2010-2011
Everton,Man City,2,1,H,2010-2011
Newcastle,Birmingham,2,1,H,2010-2011
West Ham,Blackburn,1,1,D,2010-2011
Tottenham,Blackpool,1,1,D,2010-2011
Wolves,West Brom,3,1,H,2010-2011
Stoke,Arsenal,3,1,H,2010-2011
Man United,Chelsea,2,1,H,2010-2011
Fulham,Liverpool,2,5,A,2010-2011
Man City,Tottenham,1,0,H,2010-2011
Blackburn,Man United,1,1,D,2010-2011
Blackpool,Bolton,4,3,H,2010-2011
Sunderland,Wolves,1,3,A,2010-2011
West Brom,Everton,1,0,H,2010-2011
Chelsea,Newcastle,2,2,D,2010-2011
Arsenal,Aston Villa,1,2,A,2010-2011
Birmingham,Fulham,0,2,A,2010-2011
Liverpool,Tottenham,0,2,A,2010-2011
Wigan,West Ham,3,2,H,2010-2011
Man City,Stoke,3,0,H,2010-2011
Aston Villa,Liverpool,1,0,H,2010-2011
Bolton,Man City,0,2,A,2010-2011
Everton,Chelsea,1,0,H,2010-2011
Fulham,Arsenal,2,2,D,2010-2011
Man United,Blackpool,4,2,H,2010-2011
Newcastle,West Brom,3,3,D,2010-2011
Stoke,Wigan,0,1,A,2010-2011
Tottenham,Birmingham,2,1,H,2010-2011
West Ham,Sunderland,0,3,A,2010-2011
Wolves,Blackburn,2,3,A,2010-2011
Blackburn,Wolves,1,2,A,2011-2012
Fulham,Aston Villa,0,0,D,2011-2012
Liverpool,Sunderland,1,1,D,2011-2012
QPR,Bolton,0,4,A,2011-2012
Wigan,Norwich,1,1,D,2011-2012
Newcastle,Arsenal,0,0,D,2011-2012
Stoke,Chelsea,0,0,D,2011-2012
West Brom,Man United,1,2,A,2011-2012
Man City,Swansea,4,0,H,2011-2012
Sunderland,Newcastle,0,1,A,2011-2012
Arsenal,Liverpool,0,2,A,2011-2012
Aston Villa,Blackburn,3,1,H,2011-2012
Everton,QPR,0,1,A,2011-2012
Swansea,Wigan,0,0,D,2011-2012
Chelsea,West Brom,2,1,H,2011-2012
Norwich,Stoke,1,1,D,2011-2012
Wolves,Fulham,2,0,H,2011-2012
Bolton,Man City,2,3,A,2011-2012
Man United,Tottenham,3,0,H,2011-2012
Aston Villa,Wolves,0,0,D,2011-2012
Wigan,QPR,2,0,H,2011-2012
Blackburn,Everton,0,1,A,2011-2012
Chelsea,Norwich,3,1,H,2011-2012
Swansea,Sunderland,0,0,D,2011-2012
Liverpool,Bolton,3,1,H,2011-2012
Newcastle,Fulham,2,1,H,2011-2012
Tottenham,Man City,1,5,A,2011-2012
West Brom,Stoke,0,1,A,2011-2012
Man United,Arsenal,8,2,H,2011-2012
Arsenal,Swansea,1,0,H,2011-2012
Everton,Aston Villa,2,2,D,2011-2012
Man City,Wigan,3,0,H,2011-2012
Stoke,Liverpool,1,0,H,2011-2012
Sunderland,Chelsea,1,2,A,2011-2012
Wolves,Tottenham,0,2,A,2011-2012
Bolton,Man United,0,5,A,2011-2012
Norwich,West Brom,0,1,A,2011-2012
Fulham,Blackburn,1,1,D,2011-2012
QPR,Newcastle,0,0,D,2011-2012
Blackburn,Arsenal,4,3,H,2011-2012
Aston Villa,Newcastle,1,1,D,2011-2012
Bolton,Norwich,1,2,A,2011-2012
Everton,Wigan,3,1,H,2011-2012
Swansea,West Brom,3,0,H,2011-2012
Wolves,QPR,0,3,A,2011-2012
Tottenham,Liverpool,4,0,H,2011-2012
Fulham,Man City,2,2,D,2011-2012
Sunderland,Stoke,4,0,H,2011-2012
Man United,Chelsea,3,1,H,2011-2012
Man City,Everton,2,0,H,2011-2012
Arsenal,Bolton,3,0,H,2011-2012
Chelsea,Swansea,4,1,H,2011-2012
Liverpool,Wolves,2,1,H,2011-2012
Newcastle,Blackburn,3,1,H,2011-2012
West Brom,Fulham,0,0,D,2011-2012
Wigan,Tottenham,1,2,A,2011-2012
Stoke,Man United,1,1,D,2011-2012
QPR,Aston Villa,1,1,D,2011-2012
Norwich,Sunderland,2,1,H,2011-2012
Everton,Liverpool,0,2,A,2011-2012
Aston Villa,Wigan,2,0,H,2011-2012
Blackburn,Man City,0,4,A,2011-2012
Man United,Norwich,2,0,H,2011-2012
Sunderland,West Brom,2,2,D,2011-2012
Wolves,Newcastle,1,2,A,2011-2012
Bolton,Chelsea,1,5,A,2011-2012
Fulham,QPR,6,0,H,2011-2012
Swansea,Stoke,2,0,H,2011-2012
Tottenham,Arsenal,2,1,H,2011-2012
Liverpool,Man United,1,1,D,2011-2012
Man City,Aston Villa,4,1,H,2011-2012
Norwich,Swansea,3,1,H,2011-2012
QPR,Blackburn,1,1,D,2011-2012
Stoke,Fulham,2,0,H,2011-2012
Wigan,Bolton,1,3,A,2011-2012
Chelsea,Everton,3,1,H,2011-2012
West Brom,Wolves,2,0,H,2011-2012
Arsenal,Sunderland,2,1,H,2011-2012
Newcastle,Tottenham,2,2,D,2011-2012
Wolves,Swansea,2,2,D,2011-2012
Aston Villa,West Brom,1,2,A,2011-2012
Bolton,Sunderland,0,2,A,2011-2012
Newcastle,Wigan,1,0,H,2011-2012
Liverpool,Norwich,1,1,D,2011-2012
Arsenal,Stoke,3,1,H,2011-2012
Fulham,Everton,1,3,A,2011-2012
Man United,Man City,1,6,A,2011-2012
Blackburn,Tottenham,1,2,A,2011-2012
QPR,Chelsea,1,0,H,2011-2012
Everton,Man United,0,1,A,2011-2012
Chelsea,Arsenal,3,5,A,2011-2012
Man City,Wolves,3,1,H,2011-2012
Norwich,Blackburn,3,3,D,2011-2012
Sunderland,Aston Villa,2,2,D,2011-2012
Swansea,Bolton,3,1,H,2011-2012
Wigan,Fulham,0,2,A,2011-2012
West Brom,Liverpool,0,2,A,2011-2012
Tottenham,QPR,3,1,H,2011-2012
Stoke,Newcastle,1,3,A,2011-2012
Newcastle,Everton,2,1,H,2011-2012
Arsenal,West Brom,3,0,H,2011-2012
Aston Villa,Norwich,3,2,H,2011-2012
Blackburn,Chelsea,0,1,A,2011-2012
Liverpool,Swansea,0,0,D,2011-2012
Man United,Sunderland,1,0,H,2011-2012
QPR,Man City,2,3,A,2011-2012
Wolves,Wigan,3,1,H,2011-2012
Bolton,Stoke,5,0,H,2011-2012
Fulham,Tottenham,1,3,A,2011-2012
Norwich,Arsenal,1,2,A,2011-2012
Everton,Wolves,2,1,H,2011-2012
Man City,Newcastle,3,1,H,2011-2012
Stoke,QPR,2,3,A,2011-2012
Sunderland,Fulham,0,0,D,2011-2012
West Brom,Bolton,2,1,H,2011-2012
Wigan,Blackburn,3,3,D,2011-2012
Swansea,Man United,0,1,A,2011-2012
Chelsea,Liverpool,1,2,A,2011-2012
Tottenham,Aston Villa,2,0,H,2011-2012
Stoke,Blackburn,3,1,H,2011-2012
Bolton,Everton,0,2,A,2011-2012
Chelsea,Wolves,3,0,H,2011-2012
Man United,Newcastle,1,1,D,2011-2012
Norwich,QPR,2,1,H,2011-2012
Sunderland,Wigan,1,2,A,2011-2012
West Brom,Tottenham,1,3,A,2011-2012
Arsenal,Fulham,1,1,D,2011-2012
Swansea,Aston Villa,0,0,D,2011-2012
Liverpool,Man City,1,1,D,2011-2012
Newcastle,Chelsea,0,3,A,2011-2012
Blackburn,Swansea,4,2,H,2011-2012
Man City,Norwich,5,1,H,2011-2012
QPR,West Brom,1,1,D,2011-2012
Tottenham,Bolton,3,0,H,2011-2012
Wigan,Arsenal,0,4,A,2011-2012
Aston Villa,Man United,0,1,A,2011-2012
Everton,Stoke,0,1,A,2011-2012
Wolves,Sunderland,2,1,H,2011-2012
Fulham,Liverpool,1,0,H,2011-2012
Arsenal,Everton,1,0,H,2011-2012
Bolton,Aston Villa,1,2,A,2011-2012
Liverpool,QPR,1,0,H,2011-2012
Man United,Wolves,4,1,H,2011-2012
Norwich,Newcastle,4,2,H,2011-2012
Swansea,Fulham,2,0,H,2011-2012
West Brom,Wigan,1,2,A,2011-2012
Sunderland,Blackburn,2,1,H,2011-2012
Stoke,Tottenham,2,1,H,2011-2012
Chelsea,Man City,2,1,H,2011-2012
Blackburn,West Brom,1,2,A,2011-2012
Everton,Norwich,1,1,D,2011-2012
Fulham,Bolton,2,0,H,2011-2012
Newcastle,Swansea,0,0,D,2011-2012
Wolves,Stoke,1,2,A,2011-2012
Wigan,Chelsea,1,1,D,2011-2012
QPR,Man United,0,2,A,2011-2012
Aston Villa,Liverpool,0,2,A,2011-2012
Tottenham,Sunderland,1,0,H,2011-2012
Man City,Arsenal,1,0,H,2011-2012
Wolves,Norwich,2,2,D,2011-2012
Blackburn,Bolton,1,2,A,2011-2012
Aston Villa,Arsenal,1,2,A,2011-2012
Man City,Stoke,3,0,H,2011-2012
Newcastle,West Brom,2,3,A,2011-2012
Everton,Swansea,1,0,H,2011-2012
Fulham,Man United,0,5,A,2011-2012
QPR,Sunderland,2,3,A,2011-2012
Wigan,Liverpool,0,0,D,2011-2012
Tottenham,Chelsea,1,1,D,2011-2012
Chelsea,Fulham,1,1,D,2011-2012
Bolton,Newcastle,0,2,A,2011-2012
Liverpool,Blackburn,1,1,D,2011-2012
Man United,Wigan,5,0,H,2011-2012
Sunderland,Everton,1,1,D,2011-2012
West Brom,Man City,0,0,D,2011-2012
Stoke,Aston Villa,0,0,D,2011-2012
Arsenal,Wolves,1,1,D,2011-2012
Swansea,QPR,1,1,D,2011-2012
Norwich,Tottenham,0,2,A,2011-2012
Liverpool,Newcastle,3,1,H,2011-2012
Man United,Blackburn,2,3,A,2011-2012
Arsenal,QPR,1,0,H,2011-2012
Bolton,Wolves,1,1,D,2011-2012
Chelsea,Aston Villa,1,3,A,2011-2012
Norwich,Fulham,1,1,D,2011-2012
Stoke,Wigan,2,2,D,2011-2012
Swansea,Tottenham,1,1,D,2011-2012
West Brom,Everton,0,1,A,2011-2012
Sunderland,Man City,1,0,H,2011-2012
Aston Villa,Swansea,0,2,A,2011-2012
Blackburn,Stoke,1,2,A,2011-2012
QPR,Norwich,1,2,A,2011-2012
Wolves,Chelsea,1,2,A,2011-2012
Fulham,Arsenal,2,1,H,2011-2012
Tottenham,West Brom,1,0,H,2011-2012
Wigan,Sunderland,1,4,A,2011-2012
Man City,Liverpool,3,0,H,2011-2012
Everton,Bolton,1,2,A,2011-2012
Newcastle,Man United,3,0,H,2011-2012
Tottenham,Everton,2,0,H,2011-2012
Aston Villa,Everton,1,1,D,2011-2012
Blackburn,Fulham,3,1,H,2011-2012
Chelsea,Sunderland,1,0,H,2011-2012
Liverpool,Stoke,0,0,D,2011-2012
Man United,Bolton,3,0,H,2011-2012
Tottenham,Wolves,1,1,D,2011-2012
West Brom,Norwich,1,2,A,2011-2012
